"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.169737349E2,6.499964798E1,2.559401699E1,2.904254853E1,1.500430107E0,3.250072021E2,4.699999809E0,0.000000000E0
1.179745177E2,6.499965991E1,2.559399937E1,2.901144940E1,1.500765324E0,3.250355225E2,4.699999809E0,0.000000000E0
1.190162234E2,6.499967175E1,2.559398256E1,2.904198414E1,1.500158191E0,3.251715698E2,4.699999809E0,0.000000000E0
1.199900901E2,6.499968377E1,2.559396739E1,2.901580955E1,1.496919513E0,3.273271484E2,4.699999809E0,0.000000000E0
1.209918958E2,6.499969509E1,2.559395133E1,2.884167757E1,1.493804693E0,3.237433472E2,4.699999809E0,0.000000000E0
1.219736010E2,6.499970700E1,2.559393801E1,2.872520495E1,1.489981890E0,3.301470032E2,4.699999809E0,0.000000000E0
1.229881057E2,6.499971780E1,2.559392081E1,2.873904182E1,1.487751842E0,3.207526245E2,4.699999809E0,0.000000000E0
1.239922411E2,6.499972942E1,2.559390568E1,2.876843555E1,1.487224460E0,3.261563416E2,4.699999809E0,0.000000000E0
1.249853969E2,6.499974065E1,2.559388819E1,2.895413261E1,1.486722112E0,3.205042114E2,4.699999809E0,0.000000000E0
1.259863198E2,6.499975292E1,2.559387334E1,2.905972168E1,1.488095284E0,3.286367188E2,4.699999809E0,0.000000000E0
1.269856844E2,6.499976503E1,2.559385776E1,2.911457140E1,1.489039660E0,3.279691162E2,4.699999809E0,0.000000000E0
1.279839021E2,6.499977531E1,2.559384405E1,2.926046453E1,1.267485499E0,3.280399170E2,4.699999809E0,0.000000000E0
1.289763922E2,6.499978497E1,2.559383454E1,2.929660008E1,1.112678885E0,3.379136353E2,4.699999809E0,0.000000000E0
1.299838672E2,6.499979444E1,2.559381907E1,2.956977004E1,1.226456404E0,3.249710388E2,4.699999809E0,0.000000000E0
1.309857078E2,6.499980450E1,2.559380196E1,2.989768167E1,1.301586151E0,3.237766113E2,4.699999809E0,0.000000000E0
1.319771151E2,6.499981565E1,2.559378474E1,3.056582719E1,1.366696358E0,3.262217712E2,4.699999809E0,0.000000000E0
1.329740474E2,6.499982735E1,2.559376637E1,3.110254563E1,1.417712212E0,3.249564209E2,4.699999809E0,0.000000000E0
1.339719198E2,6.499983918E1,2.559374723E1,3.135612218E1,1.443275928E0,3.238261414E2,4.699999809E0,0.000000000E0
1.349751364E2,6.499985119E1,2.559372803E1,3.161004224E1,1.464421272E0,3.243338013E2,4.699999809E0,0.000000000E0
1.359901041E2,6.499986339E1,2.559370930E1,3.181329944E1,1.481201768E0,3.251630859E2,4.699999809E0,0.000000000E0
1.369933760E2,6.499987545E1,2.559369043E1,3.185967326E1,1.488278985E0,3.242243042E2,4.699999809E0,0.000000000E0
1.379862791E2,6.499988802E1,2.559367455E1,3.183473525E1,1.489985943E0,3.305313721E2,4.699999809E0,0.000000000E0
1.389861703E2,6.499990018E1,2.559365784E1,3.168482366E1,1.492074132E0,3.279444275E2,4.699999809E0,0.000000000E0
1.399833234E2,6.499991180E1,2.559364004E1,3.156819110E1,1.490867853E0,3.248981323E2,4.699999809E0,0.000000000E0
1.409845739E2,6.499992333E1,2.559362253E1,3.137291464E1,1.489424706E0,3.257811584E2,4.699999809E0,0.000000000E0
1.419747469E2,6.499993472E1,2.559360510E1,3.122590920E1,1.486209631E0,3.258666382E2,4.699999809E0,0.000000000E0
1.429948750E2,6.499994576E1,2.559358763E1,3.105642343E1,1.482116461E0,3.258102112E2,4.699999809E0,0.000000000E0
1.439866323E2,6.499995628E1,2.559356955E1,3.097982893E1,1.481017590E0,3.241330566E2,4.699999809E0,0.000000000E0
1.449836864E2,6.499996742E1,2.559355475E1,3.090915121E1,1.477654576E0,3.307446899E2,4.699999809E0,0.000000000E0
1.459799578E2,6.499997802E1,2.559353872E1,3.080929832E1,1.473570108E0,3.262214050E2,4.699999809E0,0.000000000E0
1.469898281E2,6.499998914E1,2.559352540E1,3.073419534E1,1.471432447E0,3.320402222E2,4.699999809E0,0.000000000E0
1.479851380E2,6.499999872E1,2.559351454E1,3.072108705E1,1.248051047E0,3.321182251E2,4.699999809E0,0.000000000E0
1.489851057E2,6.500000780E1,2.559350781E1,3.074297947E1,1.090252757E0,3.397680664E2,4.699999809E0,0.000000000E0
1.499863500E2,6.500001815E1,2.559350296E1,3.067584233E1,1.201745868E0,3.456790161E2,4.699999809E0,0.000000000E0
1.509750416E2,6.500003123E1,2.559350620E1,3.052646997E1,1.507822990E0,3.778228760E0,4.699999809E0,0.000000000E0
1.519847844E2,6.500004403E1,2.559351026E1,3.013926266E1,1.497788191E0,3.885231018E0,4.699999809E0,0.000000000E0
1.529909349E2,6.500005380E1,2.559352352E1,2.971110045E1,1.264598489E0,2.506169891E1,4.699999809E0,0.000000000E0
